2025-10-06 23:50:30 - Time: 2025-10-07 00:49:59, Amount: 1600
2025-10-07 03:35:41 - Time: 2025-10-07 00:49:59, Amount: 1600 DA
2025-10-07 03:35:44 - Time: 2025-10-07 00:24:08, Amount: 1000 DA
2025-10-07 03:35:47 - Time: 2025-10-06 04:24:42, Amount: 100.00 DA
2025-10-07 03:35:50 - Time: 2025-10-06 04:11:57, Amount: 300 DA
2025-10-07 03:35:52 - Time: 2025-10-06 03:44:43, Amount: 100 DA
2025-10-07 03:37:26 - Time: 2025-10-07 04:37:13, Amount: 2000 DA
2025-10-07 03:48:11 - Time: 2025-10-07 04:47:38, Amount: 3000 DA
2025-10-07 04:28:12 - Time: 2025-10-06 04:24:42, Amount: 100.00 DA
2025-10-07 04:28:15 - Time: 2025-10-06 04:11:57, Amount: 300 DA
2025-10-07 04:28:17 - Time: 2025-10-06 03:44:43, Amount: 100 DA
2025-10-07 04:29:17 - Time: 2025-10-07 04:47:38, Amount: 3000 DA
2025-10-07 04:29:19 - Time: 2025-10-07 04:37:13, Amount: 2000 DA
2025-10-07 04:29:22 - Time: 2025-10-07 00:49:59, Amount: 1600 DA
2025-10-07 04:29:25 - Time: 2025-10-07 00:24:08, Amount: 1000 DA
2025-10-07 05:04:40 - Time: 2025-10-07 04:47:38, Amount: 3000 DA
2025-10-07 05:04:42 - Time: 2025-10-07 04:37:13, Amount: 2000 DA
2025-10-07 05:04:45 - Time: 2025-10-07 00:49:59, Amount: 1600 DA
2025-10-07 05:04:48 - Time: 2025-10-07 00:24:08, Amount: 1000 DA
2025-10-07 05:04:50 - Time: 2025-10-06 04:24:42, Amount: 100.00 DA
2025-10-07 05:04:53 - Time: 2025-10-06 04:11:57, Amount: 300 DA
2025-10-07 05:04:56 - Time: 2025-10-06 03:44:43, Amount: 100 DA
2025-10-07 05:39:49 - Time: 2025-10-07 04:47:38, Amount: 3000 DA
2025-10-07 05:39:51 - Time: 2025-10-07 04:37:13, Amount: 2000 DA
2025-10-07 05:39:54 - Time: 2025-10-07 00:49:59, Amount: 1600 DA
2025-10-07 05:39:57 - Time: 2025-10-07 00:24:08, Amount: 1000 DA
2025-10-07 05:39:59 - Time: 2025-10-06 04:24:42, Amount: 100.00 DA
2025-10-07 05:40:02 - Time: 2025-10-06 04:11:57, Amount: 300 DA
2025-10-07 05:40:04 - Time: 2025-10-06 03:44:43, Amount: 100 DA
2025-10-07 05:52:57 - Time: 2025-10-06 04:24:42, Amount: 100.00
2025-10-07 05:53:00 - Time: 2025-10-06 04:11:57, Amount: 300
2025-10-07 05:53:02 - Time: 2025-10-06 03:44:43, Amount: 100
2025-10-07 06:03:52 - Time: 2025-10-07 00:49:59, Amount: 1600
2025-10-07 06:03:55 - Time: 2025-10-07 00:24:08, Amount: 1000
2025-10-07 06:04:30 - Time: 2025-10-07 04:47:38, Amount: 3000
2025-10-07 06:04:32 - Time: 2025-10-07 04:37:13, Amount: 2000
2025-10-07 06:04:35 - Time: 2025-10-07 00:49:59, Amount: 1600
2025-10-07 06:04:38 - Time: 2025-10-07 00:24:08, Amount: 1000
2025-10-07 06:04:40 - Time: 2025-10-06 04:24:42, Amount: 100.00
2025-10-07 06:04:43 - Time: 2025-10-06 04:11:57, Amount: 300
2025-10-07 06:04:45 - Time: 2025-10-06 03:44:43, Amount: 100
2025-10-07 06:11:42 - Time: 2025-10-07 04:47:38, Amount: 3000
2025-10-07 06:11:45 - Time: 2025-10-07 04:37:13, Amount: 2000
2025-10-07 06:11:47 - Time: 2025-10-07 00:49:59, Amount: 1600
2025-10-07 06:11:50 - Time: 2025-10-07 00:24:08, Amount: 1000
2025-10-07 06:11:53 - Time: 2025-10-06 04:24:42, Amount: 100.00
2025-10-07 06:11:56 - Time: 2025-10-06 04:11:57, Amount: 300
2025-10-07 06:11:58 - Time: 2025-10-06 03:44:43, Amount: 100
